times,lightning,livfree,aperture,fubar,pumpty,rugreasy,721mcd,08,coyote,10,rhombus,12,dragula1313,14,15,16,17,18,19,20
M5911887,20,5,32,20,31,11,20,2,19,1,16,1,6,1,1,2,3,1,1,2
M5921888,20,5,32,20,33,11,20,2,21,1,18,1,6,1,1,2,3,1,1,2
M5931889,20,5,32,20,33,11,20,2,21,1,18,1,6,1,1,2,3,1,1,2
M5941890,20,5,32,20,33,11,20,2,21,1,18,1,6,1,1,2,3,1,1,2
M5951891,20,5,32,20,33,11,20,2,21,1,18,1,6,1,1,2,3,1,1,2
M5961892,20,5,32,20,33,11,20,2,21,1,18,1,6,1,1,2,3,1,1,2
M5971893,20,5,32,20,33,11,20,2,21,1,18,1,6,1,1,2,3,1,1,2
M5981894,22,5,32,20,33,11,20,2,22,1,18,1,6,1,1,2,3,1,1,2
M5991895,22,6,32,20,34,11,20,2,22,1,18,1,6,1,1,2,3,1,1,2
M6001896,22,6,32,20,35,11,20,2,22,1,18,1,6,1,1,2,3,1,1,2
M6011897,22,6,32,20,35,11,20,2,22,1,18,1,6,1,1,2,3,1,1,2
M6021898,23,6,32,20,35,11,20,2,22,1,19,1,6,1,1,2,3,1,1,2
M6031899,23,6,33,20,35,11,20,2,23,1,20,1,6,1,1,2,3,1,1,2
M6041900,23,6,33,20,35,11,20,2,23,1,20,1,6,1,1,2,3,1,1,2
M6051901,23,6,33,20,35,11,20,2,25,1,20,1,6,1,1,2,3,1,1,2
M6061902,25,6,33,20,35,11,20,2,25,1,20,1,6,1,1,2,3,1,1,2
M6071903,26,6,33,20,35,11,20,2,28,1,20,1,6,1,1,2,3,1,1,2
M6081904,26,6,33,20,35,11,20,2,29,1,20,1,6,1,1,2,3,1,1,2
M6091905,26,7,33,20,35,11,20,2,30,1,20,1,6,1,1,2,3,1,1,2
M6101906,26,7,33,20,35,11,20,2,31,1,20,1,6,1,1,2,3,1,1,2
M6111907,26,7,33,20,35,11,20,2,31,1,20,1,6,1,1,2,3,1,1,2
M6121908,26,7,34,20,35,11,20,2,31,1,20,1,6,1,1,2,3,1,1,2
M6131909,26,7,34,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6141910,26,7,34,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6151911,26,7,34,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6161912,26,7,34,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6171913,26,7,34,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6181914,27,7,34,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6191915,28,7,35,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6201916,28,7,37,20,35,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6211917,28,7,37,20,36,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6221918,29,7,37,20,36,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6231919,29,7,37,20,36,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6241920,29,7,37,20,36,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6251921,29,7,37,20,36,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6261922,29,7,37,20,36,11,20,2,32,1,20,1,6,1,1,2,3,1,1,2
M6271923,29,7,37,20,36,11,20,2,33,1,20,1,6,1,1,2,3,1,1,2
M6281924,29,7,37,20,36,11,20,2,36,1,20,1,6,1,1,2,3,1,1,2
M6291925,29,8,38,20,36,11,22,2,38,1,21,1,7,1,1,2,3,1,1,2
M6301926,29,8,39,20,38,11,22,2,38,1,23,1,7,1,1,2,3,1,1,2
M6311927,30,8,40,20,41,11,22,2,38,1,26,1,7,1,1,2,3,1,1,2
M6321928,30,9,40,21,42,11,25,2,41,1,26,1,7,1,1,2,3,1,1,2
M6331929,30,9,42,21,42,11,26,2,41,1,26,1,7,1,1,2,3,1,1,2
M6341930,30,11,42,21,46,11,27,2,42,1,26,1,8,1,1,2,3,1,1,2
M6351931,31,12,45,22,50,12,29,2,45,1,28,1,9,1,1,2,3,1,1,2
M6361932,31,12,45,22,50,12,30,2,48,1,28,1,9,1,1,2,3,1,1,2
M6371933,31,12,46,22,50,12,30,2,50,1,29,1,9,1,1,2,3,1,1,2
M6381934,31,12,46,22,50,12,30,2,52,1,29,1,9,1,1,2,3,1,1,2
M6391935,31,12,47,22,50,12,30,2,54,1,29,1,9,1,1,2,3,1,1,2
M6401936,31,12,47,22,50,12,34,2,57,1,29,1,9,1,1,2,3,1,1,2
M6411937,31,12,48,23,50,12,37,2,57,1,29,1,9,1,1,2,3,1,1,2
M6421938,31,12,50,23,50,12,37,2,58,1,30,1,9,1,1,2,3,1,1,2
M6431939,31,12,51,23,50,12,38,2,61,1,32,1,9,1,1,2,3,1,1,2
M6441940,31,12,53,23,52,12,38,2,62,1,32,1,9,1,1,2,3,1,1,2
M6451941,31,12,53,24,56,12,38,2,62,1,32,1,9,1,1,2,3,1,1,2
M6461942,31,12,53,24,60,12,38,2,62,1,32,1,9,1,1,2,3,1,1,2
M6471943,31,12,54,24,63,12,38,2,62,1,32,1,9,1,1,2,3,1,1,2
M6481944,31,12,54,24,64,12,38,2,62,1,32,1,9,1,1,2,3,1,1,2
M6491945,32,12,55,24,65,12,38,2,62,1,32,1,9,1,1,2,3,1,1,2
M6501946,33,12,55,24,65,12,38,2,62,1,34,1,9,1,1,2,3,1,1,2
M6511947,33,12,55,24,65,12,38,2,63,1,34,1,9,1,1,2,3,1,1,2
M6521948,33,12,55,24,66,12,38,2,65,1,34,1,9,1,2,2,4,1,1,2
M6531949,33,12,59,24,66,12,38,2,65,1,34,1,9,1,2,2,4,1,1,2
M6541950,33,12,63,24,66,12,38,2,65,1,36,1,9,1,2,2,4,1,1,2
M6551951,33,12,67,24,70,12,38,2,66,1,40,1,9,1,2,2,4,1,1,2
M6561952,33,12,70,24,73,12,38,2,67,1,42,1,9,1,2,2,4,1,1,2
