times,lightning,livfree,aperture,fubar,pumpty,rugreasy,721mcd,08,coyote,10,rhombus,12,dragula1313,14,15,16,17,18,19,20
M480048,7,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
M490049,7,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
M500050,8,0,1,3,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0
M510051,8,0,1,3,1,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0
M520052,8,0,1,3,1,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0
M530053,8,0,1,3,1,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0
M540054,8,0,1,3,2,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0
M550055,8,0,1,3,5,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0
M560056,8,0,1,3,7,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0
M570057,8,0,1,3,7,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0
M580058,8,0,1,3,8,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0
M590059,8,0,1,3,9,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0
M600060,8,0,1,3,9,0,4,0,2,0,7,0,0,0,0,0,0,0,0,0
M610061,8,0,2,3,9,0,4,0,2,0,7,0,0,0,0,0,0,0,0,0
M620062,8,0,2,3,9,0,4,0,2,0,7,0,0,0,0,0,0,0,0,0
M630063,8,0,2,3,9,0,4,0,2,0,7,0,0,0,0,0,0,0,0,0
M640064,8,0,2,3,9,0,4,0,4,0,7,0,0,0,0,0,0,0,0,0
M650065,8,0,2,3,9,0,4,0,5,0,7,0,0,0,0,0,0,0,0,0
M660066,8,0,2,3,10,0,4,0,5,0,7,0,0,0,0,0,0,0,0,0
M670067,9,0,2,4,10,1,4,0,5,0,7,0,1,0,0,0,0,0,0,0
M680068,9,0,2,5,10,1,4,0,5,0,7,0,1,0,0,0,0,0,0,0
M690069,9,0,2,6,10,1,4,0,5,0,7,0,1,0,0,0,0,0,0,0
M700070,9,0,2,6,10,1,4,0,5,0,7,0,1,0,0,0,0,0,0,0
M710071,9,0,2,7,10,1,4,0,5,0,7,0,1,0,0,0,0,0,0,0
M720072,9,0,2,8,10,1,4,0,5,0,7,0,1,0,0,0,0,0,0,0
M730073,9,0,2,8,10,1,4,0,5,0,7,0,1,0,0,0,0,0,0,0
M740074,9,0,2,8,10,1,4,0,6,0,7,0,1,0,0,0,0,0,0,0
M750075,9,0,2,8,11,1,4,0,6,0,8,0,2,0,0,0,0,0,0,0
M760076,9,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M770077,9,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M780078,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M790079,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M800080,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M810081,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M820082,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M830083,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M840084,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M850085,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M860086,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M870087,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M880088,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M890089,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M900090,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M910091,10,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M920092,12,0,2,8,12,1,4,0,7,0,8,0,2,0,0,0,0,0,0,0
M930093,13,1,2,9,13,2,5,0,7,1,9,1,3,1,1,1,1,0,0,0
M940094,14,2,3,10,15,3,5,0,7,1,9,1,3,1,1,1,1,0,0,0
M950095,14,2,3,11,15,4,5,0,7,1,9,1,4,1,1,1,1,0,0,0
M960096,14,2,3,12,15,4,5,0,7,1,9,1,4,1,1,1,1,0,0,0
M970097,14,2,6,12,15,4,5,0,7,1,9,1,4,1,1,1,1,0,0,0
M980098,14,2,9,12,15,4,5,0,7,1,9,1,4,1,1,1,1,0,0,0
M990099,14,2,12,12,15,4,5,0,7,1,9,1,5,1,1,1,1,0,0,0
M1000100,14,2,15,12,15,4,5,0,7,1,9,1,5,1,1,1,1,0,0,0
M1010101,14,2,16,12,15,4,5,0,7,1,9,1,5,1,1,1,1,0,0,0
M1020102,14,2,16,12,15,4,5,0,7,1,9,1,5,1,1,1,1,0,0,0
M1030103,14,2,16,12,15,4,5,0,10,1,9,1,5,1,1,1,1,0,0,0
M1040104,16,2,18,13,16,5,6,0,10,1,9,1,5,1,1,1,1,0,0,0
M1050105,16,2,18,13,16,5,6,0,11,1,9,1,5,1,1,1,1,0,0,0
M1060106,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1070107,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1080108,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1090109,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1100110,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1110111,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1120112,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1130113,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1140114,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1150115,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1160116,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1170117,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1180118,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1190119,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1200120,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1210121,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1220122,16,2,18,13,16,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1230123,16,2,19,13,17,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1240124,16,2,19,13,17,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
M1250125,16,2,21,13,17,5,7,0,11,1,9,1,5,1,1,1,1,0,0,0
